Name,Price,Link,Amenities,Long Term,Minimum Stay,City,Neighborhood,Location,Floor,Square Area,Bedrooms,Bathrooms,Security,Pool,Airconditioning,Parking,Balcony,Pets Allowed,Furnishing,Updated,Latitude,Longitude,Address,Province,Region,Rating,ReviewsCount,school,hospital,shopping_mall,supermarket,church,park,gym,restaurant,bank,pharmacy,police,subway_station,train_station,university,transit_station,bus_station
Symphony Towers near GMA Corner Timog,23000,https://rentpad.com.ph/long-term-rentals/quezon-city/symphony-towers-near-gma-corner-timog/5934da1e90&cl=1&fl=1,Gym; 24/7 Security; Function Rooms; Swimming pool,"23,000 /Month",1 Year,Quezon City,Timog and South Triangle,Symphony Towers,22,26,0,1,1,1,,,,,Fully Furnished,20-May-25,14.6341662,121.0413579,"Sgt. Esguerra Avenue, corner Timog Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines",,Metro Manila,4.2,185,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1 Bedroom for Rent in Grass Residences near SM North QC,15000,https://rentpad.com.ph/long-term-rentals/quezon-city/1-bedroom-for-rent-in-grass-residences-near-sm-north-qc/fa110c9c92&cl=1&fl=1,Concierge; Jogging Trail; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool,"15,000 /Month",1 Year,Quezon City,North Avenue Area,SM Grass Residences,3,23.47,1,1,1,1,,,,,Fully Furnished,24-Aug-25,14.6600184,121.0282584,"The Grass Residences, Bago Bantay, Quezon City, 1105 Metro Manila, Philippines",,Metro Manila,4.2,1574,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Newly Renovated Studio Type Condo Unit,15000,https://rentpad.com.ph/long-term-rentals/quezon-city/newly-renovated-studio-type-condo-unit/e1d4116931&cl=1&fl=1,Concierge; Jogging Trail; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking,"15,000 /Month",6 Months,Quezon City,Novaliches,Trees Residences,2,19,0,1,1,1,,1,,,Fully Furnished,27-Aug-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
2 Bedroom Loft with Utility Room in Eastwood LeGrande Tower,55000,https://rentpad.com.ph/long-term-rentals/quezon-city/2-bedroom-loft-with-utility-room-in-eastwood-legrande-tower/daad6ef835&cl=1&fl=1,Concierge; Gym; 24/7 Security; Function Rooms; Swimming pool; Storage Space,"55,000 /Month",1 Year,Quezon City,Eastwood City,Eastwood LeGrande Tower,,80,2,3,1,1,1,,,,Unfurnished,7-Sep-25,14.6075776,121.0818933,"1, 1800 Economia Road, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,165,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Semi Furnished Studio for Rent at MPlace South Triangle,13500,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-studio-for-rent-at-mplace-south-triangle/416dd43613&cl=1&fl=1,24/7 Security; Function Rooms,"13,500 /Month",1 Year,Quezon City,Timog and South Triangle,MPlace South Triangle,23,20,0,1,1,,,,,,Semi Furnished,6-Sep-25,14.639805,121.0330963,"120 Brgy, 1103 Panay Ave, Diliman, Quezon City, Metro Manila, Philippines",,Metro Manila,4.1,254,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Furnished 2BR for Rent in Verde Spatial A Pet Friendly Condo 18K,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/furnished-2br-for-rent-in-verde-spatial-a-pet-friendly-condo-18k/48a4d84c44&cl=1&fl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Swimming pool; Storage Space,"20,000 /Month",1 Year,Quezon City,Commonwealth Area,Verde Spatial,2,32,2,1,1,1,1,,,,Fully Furnished,7-Sep-25,14.7044095,121.0841167,"Commonwealth Ave, Quezon City, Metro Manila, Philippines",,Metro Manila,4.6,18,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
2 Bedroom at Verde Spatial for Only 14K,14000,https://rentpad.com.ph/long-term-rentals/quezon-city/2-bedroom-at-verde-spatial-for-only-14k/5efae65d72&cl=1&fl=1,Pets Allowed; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking,"14,000 /Month",1 Year,Quezon City,Commonwealth Area,Verde Spatial,5,32,2,1,1,1,,1,,1,Unfurnished,7-Sep-25,14.7044095,121.0841167,"Commonwealth Ave, Quezon City, Metro Manila, Philippines",,Metro Manila,4.6,18,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Fully Furnished 1 Bedroom Unit in Vista Pointe Quezon City,28000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-in-vista-pointe-quezon-city/c702df394&cl=1&fl=1,Gym; Study Hall,"28,000 /Month",1 Year,Quezon City,Loyola Heights,Vista Pointe,27,28,1,1,,,,,,,Fully Furnished,2-Sep-25,14.6420673,121.0744041,"329 Katipunan Avenue, Brgy, cor B. Gonzales, Quezon City, 1108 Metro Manila, Philippines",,Metro Manila,4.2,19,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Semi Furnished Studio Unit at Vista 309 Katipunan for Rent,14000,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-studio-unit-at-vista-309-katipunan-for-rent/c7d590c666&cl=1&fl=1,Concierge; Gym; Study Hall; 24/7 Security; Swimming pool,"14,000 /Month",1 Year,Quezon City,Loyola Heights,Vista 309 Katipunan,20,15.23,0,1,1,1,,,,,Semi Furnished,4-Sep-25,14.6383382,121.0742969,"309 Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines",,Metro Manila,3.9,87,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
1 BR Unit at Avida Towers Vita for Rent - with aircon and heater,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/1-br-unit-at-avida-towers-vita-for-rent--with-aircon-and-heater/333c101819&cl=1&fl=1,Concierge; Jogging Trail; 24/7 Security; Function Rooms; Swimming pool,"20,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Vita,6,37,1,1,1,1,,,,,Unfurnished,4-Sep-25,14.646806,121.036889,"Estate, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,152,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
Semi Furnished 2BR for Rent in Vine Residences,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/semi-furnished-2br-for-rent-in-vine-residences/f7b295f782&cl=1&fl=1,Concierge; Jogging Trail; Play Room; 24/7 Security; Swimming pool; Balcony,"20,000 /Month",6 Months,Quezon City,Novaliches,Vine Residences,11,33.36,2,1,1,1,,,1,,Semi Furnished,19-Aug-25,14.7090139,121.0356568,"P25P+J73, Quirino Hwy, BRGY, Quezon City, 1100 Metro Manila, Philippines",,Metro Manila,4.2,85,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"23 sqm Studio Condo in Manhattan Parkway, Araneta City, Cubao",15900,https://rentpad.com.ph/long-term-rentals/quezon-city/23-sqm-studio-condo-in-manhattan-parkway-araneta-city-cubao/e21efb2d43&cl=1&fl=1,Jogging Trail; Gym; Multi-Purpose Hall; Play Room; 24/7 Security; Swimming pool,"15,900 /Month",3 Months,Quezon City,Araneta Center Cubao,Manhattan Parkway Residences,9,23,0,1,1,1,,,,,Semi Furnished,24-Aug-25,14.623242,121.0547743,"General Malvar Ave, Cubao, Quezon City, Metro Manila, Philippines",,Metro Manila,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
The Orabella for Rent Fully Furnished 1 Bedroom Unit,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/the-orabella-for-rent-fully-furnished-1-bedroom-unit/ed8b8f0615&cl=1&fl=1,,"25,000 /Month",6 Months,Quezon City,Araneta Center Cubao,The Orabella,18,31,1,1,,,,,,,Fully Furnished,4-Sep-25,14.622331,121.0637697,"21st Ave, Project 4, Quezon City, Metro Manila, Philippines",,Metro Manila,4.3,65,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1BR Unit 33sqm at Amaia Skies Cubao for Rent,17000,https://rentpad.com.ph/long-term-rentals/quezon-city/1br-unit-33sqm-at-amaia-skies-cubao-for-rent/5f2b246e25&cl=1&fl=1,Concierge; 24/7 Security; Swimming pool,"17,000 /Month",1 Year,Quezon City,Araneta Center Cubao,Amaia Skies Cubao,21,33.07,1,1,1,1,,,,,Unfurnished,26-Jul-25,14.6156186,121.0539166,"P. Tuazon Blvd, Cubao, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2 Bedroom Unit for Rent in Novaliches Bayan Commonwealth QC,15000,https://rentpad.com.ph/long-term-rentals/quezon-city/2-bedroom-unit-for-rent-in-novaliches-bayan-commonwealth-qc/e41c41b711&cl=1&fl=1,,"15,000 /Month",1 Year,Quezon City,,,1,30,2,1,,,,,,,Unfurnished,26-Jun-25,14.7177676,121.0287504,"P29H+4F7, Quezon City, Metro Manila, Philippines",,Metro Manila,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0
Mezza Res-Furnished 1BR Unit for Rent,15000,https://rentpad.com.ph/long-term-rentals/quezon-city/mezza-resfurnished-1br-unit-for-rent/d431bc094&cl=1&fl=1,Concierge; Jogging Trail; Gym; Study Hall; 24/7 Security; Swimming pool,"15,000 /Month",1 Year,Quezon City,Santa Mesa,Mezza Residences,,21,1,1,1,1,,,,,Semi Furnished,28-Aug-25,14.6817003,121.1002086,"114 Session Rd, Quezon City, 1126 Metro Manila, Philippines",,Metro Manila,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
Princeton Residences Furnished Studio Condo for Rent New Manila,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/princeton-residences-furnished-studio-condo-for-rent-new-manila/66923ff754&cl=1&fl=1,Concierge; Study Hall; 24/7 Security; Swimming pool,"16,000 /Month",1 Year,Quezon City,New Manila,Princeton Residences,,24,0,1,1,1,,,,,Semi Furnished,21-Aug-25,14.6133,121.034078,"Beside LRT 2 Gilmore Station (South Entrance) 1112, Aurora Blvd, Quezon City, 1112 Metro Manila, Philippines",,Metro Manila,4.2,301,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Brand New 1 Bedroom with Balcony Unit for Lease,28000,https://rentpad.com.ph/long-term-rentals/quezon-city/brand-new-1-bedroom-with-balcony-unit-for-lease/85d1ceb576&cl=1,Concierge; Jogging Trail; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony; Storage Space,"28,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Cloverleaf,,33.27,1,1,1,1,1,1,1,,Fully Furnished,5-May-25,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
Brand New Studio with Balcony at Vertis North QC,20000,https://rentpad.com.ph/long-term-rentals/quezon-city/brand-new-studio-with-balcony-at-vertis-north-qc/f6186ebf67&cl=1,Jogging Trail; Gym; 24/7 Security; Function Rooms; Swimming pool; Balcony,"20,000 /Month",1 Year,Quezon City,North Avenue Area,Avida Towers Sola,,26,0,1,1,1,,,1,,Semi Furnished,3-Apr-25,14.6517773,121.035869,"Phase 1 & 2, North Ave, Brgy. Bagong Pag-asa, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,6377,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"FOR RENT Fully Furnished Studio in Blue Residences, Katipunan QC,",18000,https://rentpad.com.ph/long-term-rentals/quezon-city/for-rent-fully-furnished-studio-in-blue-residences-katipunan-qc/b63196f261&cl=1,Study Hall; 24/7 Security; Swimming pool,"18,000 /Month",1 Year,Quezon City,Loyola Heights,Blue Residences,12,24,0,1,1,1,,,,,Fully Furnished,6-Feb-25,14.6328075,121.0747453,"41 Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines",,Metro Manila,4.3,396,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Fully Furnished in Sentinel Cubao Edsa,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-in-sentinel-cubao-edsa/8b6c0c6910&cl=1,Pets Allowed; Jogging Trail; Gym; 24/7 Security; Swimming pool,"25,000 /Month",1 Year,Quezon City,Araneta Center Cubao,Sentinel Residences,36,25,0,1,1,1,,,,1,Fully Furnished,25-Feb-25,14.613026,121.054364,"528 Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila, Philippines",,Metro Manila,4.4,392,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Affordable Condo Unit for Rent at Tower A MPLACE South Triangle,18000,https://rentpad.com.ph/long-term-rentals/quezon-city/affordable-condo-unit-for-rent-at-tower-a-mplace-south-triangle/6305a56b1&cl=1,Jogging Trail; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool,"18,000 /Month",6 Months,Quezon City,Timog and South Triangle,MPlace South Triangle,20,20,1,1,1,1,,,,,Fully Furnished,26-Feb-25,14.639397,121.032668,"116 Panay Ave, Diliman, Quezon City, Metro Manila, Philippines",,Metro Manila,2.8,17,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
Fully Furnished Studio with Balcony in Cityland 101 Xavierville,22000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-studio-with-balcony-in-cityland-101-xavierville/efa4b1ff2&cl=1,Concierge; Pets Allowed; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking; Balcony; Storage Space,"22,000 /Month",1 Months,Quezon City,Loyola Heights,Cityland 101 Xavierville,20,20,0,1,1,1,1,1,1,1,Fully Furnished,9-Feb-25,14.6341949,121.0733559,"101 Xavierville Ave, Quezon City, 1108 Metro Manila, Philippines",,Metro Manila,4.1,19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Fully Furnished 1 Bedroom Unit at SM Grass Residences for Rent,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-unit-at-sm-grass-residences-for-rent/001567e177&cl=1,Concierge; Gym; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Balcony,"16,000 /Month",6 Months,Quezon City,North Avenue Area,SM Grass Residences,33,28,1,1,1,1,,,1,,Fully Furnished,8-Apr-25,14.6580639,121.0290948,"Grass Residences-SM North Edsa Walkway, Quezon City, Metro Manila, Philippines",,Metro Manila,4.6,16,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Fully Furnished 1 Bedroom Condo in Blue Residences near Ateneo,25000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-condo-in-blue-residences-near-ateneo/726e5e0251&cl=1,Concierge; Study Hall; Multi-Purpose Hall; 24/7 Security; Function Rooms; Swimming pool; Parking,"25,000 /Month",1 Year,Quezon City,Loyola Heights,Blue Residences,29,33,1,1,1,1,,1,,,Fully Furnished,5-Apr-25,14.6328075,121.0747453,"41 Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines",,Metro Manila,4.3,396,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Affoable Fully Furnished Studio for Rent at Avida Towers Vita 1,18000,https://rentpad.com.ph/long-term-rentals/quezon-city/affoable-fully-furnished-studio-for-rent-at-avida-towers-vita-/211915a783&cl=1,Concierge; Pets Allowed; Gym; Play Room; 24/7 Security; Function Rooms; Swimming pool,"18,000 /Month",6 Months,Quezon City,North Avenue Area,Avida Towers Vita,5,23,0,1,1,1,,,,1,Fully Furnished,28-Jan-25,14.646806,121.036889,"Estate, Vertis North, Quezon City, Metro Manila, Philippines",,Metro Manila,4.5,152,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
Unfurnished 1BR for Rent in Magnolia Residences Quezon City,35000,https://rentpad.com.ph/long-term-rentals/quezon-city/unfurnished-1br-for-rent-in-magnolia-residences-quezon-city/e7c72c276&cl=1,Concierge; Gym; 24/7 Security; Function Rooms; Swimming pool,"35,000 /Month",1 Year,Quezon City,New Manila,Magnolia Residences,20,36.3,1,1,1,1,,,,,Unfurnished,28-Oct-24,14.6138356,121.0384865,"The Magnolia Residences, Doña Hemady St, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Studio unit for rent in Aurora Escalades Tower,18000,https://rentpad.com.ph/long-term-rentals/quezon-city/studio-unit-for-rent-in-aurora-escalades-tower/7e448c869&cl=1,Concierge,"18,000 /Month",1 Year,Quezon City,Araneta Center Cubao,Aurora Escalades,11,22,0,1,,,,,,,Unfurnished,30-Apr-25,14.6256728,121.059219,"924 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines",,Metro Manila,5,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Fully Furnished Studio Unit at Aurora Escalades for Rent,22000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-studio-unit-at-aurora-escalades-for-rent/4a56763a91&cl=1,Concierge; Jogging Trail; Gym; Study Hall; Multi-Purpose Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool,"22,000 /Month",1 Year,Quezon City,Araneta Center Cubao,Aurora Escalades,19,22.1,0,1,1,1,,,,,Semi Furnished,16-Jun-25,14.6256728,121.059219,"924 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines",,Metro Manila,5,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Modern 1BR Furnished unit at The Arton by Rockwell Katipunan,45000,https://rentpad.com.ph/long-term-rentals/quezon-city/modern-1br-furnished-unit-at-the-arton-by-rockwell-katipunan/ed7d517c72&cl=1,Pets Allowed; Jogging Trail; Gym; Study Hall; 24/7 Security; Function Rooms; Swimming pool; Parking,"45,000 /Month",6 Months,Quezon City,Loyola Heights,The Arton,8,47,0,1,1,1,,1,,1,Fully Furnished,26-Aug-25,14.6317311,121.0749915,"Aurora Blvd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Fully Furnished Studio Unit at Aurora Escalades,21000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-studio-unit-at-aurora-escalades/5800b2979&cl=1,Concierge; Gym; Study Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool; Parking,"21,000 /Month",6 Months,Quezon City,Araneta Center Cubao,Aurora Escalades,10,22,0,1,1,1,,1,,,Fully Furnished,13-Aug-25,14.6256728,121.059219,"924 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines",,Metro Manila,5,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Newly Furnished 1 Bedroom at The Arton by Rockwell,42000,https://rentpad.com.ph/long-term-rentals/quezon-city/newly-furnished-1-bedroom-at-the-arton-by-rockwell/f588e05b58&cl=1,Pets Allowed; Gym; Study Hall; 24/7 Security; Function Rooms; Swimming pool; Parking,"42,000 /Month",6 Months,Quezon City,Loyola Heights,The Arton,9,46,1,1,1,1,,1,,1,Fully Furnished,26-Aug-25,14.6317311,121.0749915,"Aurora Blvd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
1 Bedroom Unit in Magnolia Residences,30000,https://rentpad.com.ph/long-term-rentals/quezon-city/1-bedroom-unit-in-magnolia-residences/e958ce9e21&cl=1,Concierge; Jogging Trail; Gym; Study Hall; 24/7 Security; Function Rooms,"30,000 /Month",1 Year,Quezon City,New Manila,Magnolia Residences,26,36.3,1,1,1,,,,,,Unfurnished,4-Feb-25,14.6138356,121.0384865,"The Magnolia Residences, Doña Hemady St, Quezon City, Metro Manila, Philippines",,Metro Manila,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Unfurished Studio Unit at Aurora Escalades,16000,https://rentpad.com.ph/long-term-rentals/quezon-city/unfurished-studio-unit-at-aurora-escalades/8396b13592&cl=1,Concierge; Gym; Study Hall; Play Room; 24/7 Security; Function Rooms; Swimming pool,"16,000 /Month",6 Months,Quezon City,Araneta Center Cubao,Aurora Escalades,12,24,0,1,1,1,,,,,Unfurnished,13-Aug-25,14.6256728,121.059219,"924 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines",,Metro Manila,5,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Fully Furnished 1 Bedroom with Balcony at The Arton by Rockwell,45000,https://rentpad.com.ph/long-term-rentals/quezon-city/fully-furnished-1-bedroom-with-balcony-at-the-arton-by-rockwell/6aa14d3b55&cl=1,Pets Allowed; Gym; Study Hall; 24/7 Security; Swimming pool; Parking; Balcony,"45,000 /Month",1 Year,Quezon City,Loyola Heights,The Arton,11,48,1,1,1,1,,1,1,1,Fully Furnished,26-Aug-25,14.6317311,121.0749915,"Aurora Blvd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
3 Bedroom Unit at The Arton by Rockwell Katipunan,75000,https://rentpad.com.ph/long-term-rentals/quezon-city/3-bedroom-unit-at-the-arton-by-rockwell-katipunan/f02d936355&cl=1,Gym; Study Hall; 24/7 Security; Swimming pool; Parking; Balcony,"75,000 /Month",6 Months,Quezon City,Loyola Heights,Loyola Heights Condominium,15,103,3,3,1,1,,1,1,,Unfurnished,26-Aug-25,14.6317311,121.0749915,"Aurora Blvd, Quezon City, 1800 Metro Manila, Philippines",,Metro Manila,4.4,37,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
